transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount,discount_applied,payment_method,shipping_cost,tax_amount,order_status,return_flag
TXN_00000001,CUST_000890,PROD_00244,2025-01-24,1,24.07,23.31,0.25,Bank Transfer,3.82,1.44,Completed,False
TXN_00000002,CUST_000047,PROD_00010,2025-01-31,6,300.16,1419.88,0.27,Debit Card,0.0,105.18,Completed,False
TXN_00000003,CUST_000258,PROD_00138,2024-09-18,8,79.58,611.94,0.11,Credit Card,0.0,45.33,Shipped,False
TXN_00000004,CUST_000499,PROD_00298,2023-12-29,8,318.67,2560.57,0.07,PayPal,0.0,189.67,Completed,False
TXN_00000005,CUST_000451,PROD_00636,2023-11-28,8,134.9,827.53,0.29,PayPal,0.0,61.3,Completed,False
TXN_00000006,CUST_001063,PROD_00208,2023-07-13,7,242.04,1317.47,0.28,Credit Card,0.0,97.59,Completed,False
TXN_00000007,CUST_000057,PROD_00118,2023-09-25,3,436.8,1202.95,0.15,PayPal,0.0,89.11,Pending,False
TXN_00000008,CUST_000219,PROD_00167,2025-07-02,3,97.84,304.32,0.04,Credit Card,0.0,22.54,Completed,False
TXN_00000009,CUST_000406,PROD_00371,2024-02-21,2,85.58,181.16,0.02,PayPal,0.0,13.42,Completed,False
TXN_00000010,CUST_000199,PROD_00297,2025-07-02,8,275.01,2304.81,0.03,Debit Card,0.0,170.73,Completed,False
TXN_00000011,CUST_001315,PROD_00832,2025-06-16,7,251.98,1600.17,0.16,Debit Card,0.0,118.53,Pending,False
TXN_00000012,CUST_001038,PROD_00426,2023-09-19,9,392.38,2822.31,0.26,PayPal,0.0,209.06,Completed,False
TXN_00000013,CUST_000053,PROD_00262,2024-04-24,6,89.36,457.46,0.21,Debit Card,0.0,33.89,Cancelled,True
TXN_00000014,CUST_000364,PROD_00525,2024-12-28,1,318.27,309.36,0.1,PayPal,0.0,22.92,Shipped,False
TXN_00000015,CUST_001339,PROD_00920,2024-02-24,9,13.17,93.45,0.27,Credit Card,0.0,6.92,Completed,False
TXN_00000016,CUST_001313,PROD_00891,2025-01-21,3,42.25,95.82,0.3,Credit Card,0.0,7.1,Cancelled,False
TXN_00000017,CUST_000111,PROD_00997,2024-06-19,1,41.21,46.83,0.1,Debit Card,6.77,2.97,Completed,False
TXN_00000018,CUST_001495,PROD_00346,2025-06-25,1,194.5,182.76,0.13,Debit Card,0.0,13.54,Pending,False
TXN_00000019,CUST_000860,PROD_00836,2024-08-03,2,106.23,183.57,0.2,Debit Card,0.0,13.6,Completed,False
TXN_00000020,CUST_001205,PROD_00236,2023-11-13,1,259.05,201.44,0.28,Debit Card,0.0,14.92,Pending,False
TXN_00000021,CUST_001011,PROD_00938,2024-06-02,7,491.98,3012.69,0.19,Debit Card,0.0,223.16,Completed,False
TXN_00000022,CUST_001267,PROD_00817,2024-10-18,4,245.81,807.04,0.24,Debit Card,0.0,59.78,Cancelled,False
TXN_00000023,CUST_001004,PROD_00436,2024-08-22,5,236.61,958.27,0.25,Debit Card,0.0,70.98,Cancelled,False
TXN_00000024,CUST_001306,PROD_00498,2025-03-27,8,135.72,1149.16,0.02,Credit Card,0.0,85.12,Completed,False
TXN_00000025,CUST_000389,PROD_00430,2024-10-05,7,422.45,2586.91,0.19,Debit Card,0.0,191.62,Pending,False
TXN_00000026,CUST_001441,PROD_00376,2025-03-27,8,427.43,3286.76,0.11,Credit Card,0.0,243.46,Completed,False
TXN_00000027,CUST_000183,PROD_00942,2025-03-04,8,345.19,2833.32,0.05,PayPal,0.0,209.88,Pending,False
TXN_00000028,CUST_000810,PROD_00933,2025-04-17,5,449.51,2233.17,0.08,PayPal,0.0,165.42,Completed,False
TXN_00000029,CUST_000960,PROD_00884,2025-06-25,5,445.68,2141.94,0.11,Debit Card,0.0,158.66,Pending,False
TXN_00000030,CUST_000239,PROD_00548,2024-02-10,3,388.99,1058.67,0.16,Credit Card,0.0,78.42,Completed,False
TXN_00000031,CUST_000838,PROD_00773,2023-09-07,3,464.79,1280.03,0.15,Debit Card,0.0,94.82,Completed,False
TXN_00000032,CUST_001061,PROD_00447,2023-10-31,6,459.53,2233.31,0.25,Credit Card,0.0,165.43,Completed,False
TXN_00000033,CUST_000225,PROD_00134,2024-04-27,8,59.76,387.24,0.25,Credit Card,0.0,28.68,Completed,False
TXN_00000034,CUST_001468,PROD_00717,2024-03-26,1,27.74,45.14,0.24,Debit Card,22.37,1.69,Completed,False
TXN_00000035,CUST_000388,PROD_00177,2024-06-30,9,119.85,1025.15,0.12,Debit Card,0.0,75.94,Cancelled,False
TXN_00000036,CUST_000803,PROD_00081,2024-06-29,7,35.09,241.4,0.09,Credit Card,0.0,17.88,Shipped,False
TXN_00000037,CUST_000319,PROD_00257,2024-10-26,7,424.45,2246.19,0.3,PayPal,0.0,166.38,Completed,False
TXN_00000038,CUST_000875,PROD_00049,2025-05-11,2,183.67,293.58,0.26,PayPal,0.0,21.75,Completed,False
TXN_00000039,CUST_000800,PROD_00226,2024-11-24,4,413.18,1713.54,0.04,Credit Card,0.0,126.93,Completed,False
TXN_00000040,CUST_000288,PROD_00969,2023-08-30,3,340.34,1058.59,0.04,Debit Card,0.0,78.41,Completed,False
TXN_00000041,CUST_000412,PROD_00230,2023-10-10,4,88.05,300.5,0.21,Credit Card,0.0,22.26,Pending,False
TXN_00000042,CUST_001275,PROD_00999,2023-11-25,2,445.72,712.44,0.26,Debit Card,0.0,52.77,Completed,False
TXN_00000043,CUST_000388,PROD_00776,2025-02-11,8,284.35,1768.89,0.28,Credit Card,0.0,131.03,Completed,False
TXN_00000044,CUST_001173,PROD_00486,2024-01-15,4,78.05,296.72,0.12,PayPal,0.0,21.98,Completed,False
TXN_00000045,CUST_000793,PROD_00554,2024-08-30,3,26.05,94.54,0.13,Bank Transfer,21.11,5.44,Completed,True
TXN_00000046,CUST_001402,PROD_00394,2024-06-07,2,248.22,434.29,0.19,Credit Card,0.0,32.17,Completed,False
TXN_00000047,CUST_000741,PROD_00987,2024-02-13,6,118.61,737.85,0.04,PayPal,0.0,54.66,Shipped,False
TXN_00000048,CUST_000147,PROD_00381,2024-01-30,5,121.82,493.37,0.25,Bank Transfer,0.0,36.55,Completed,False
TXN_00000049,CUST_000463,PROD_00194,2024-09-12,2,365.24,568.03,0.28,Credit Card,0.0,42.08,Completed,False
TXN_00000050,CUST_000289,PROD_00927,2024-10-14,3,479.4,1382.4,0.11,PayPal,0.0,102.4,Shipped,False
TXN_00000051,CUST_000733,PROD_00794,2025-03-10,2,261.5,474.47,0.16,PayPal,0.0,35.15,Completed,False
